dist,under_h0,n,estimator,q,weight,reject_rate,mean_pvalue,mean_stat,mean_time_s,sd_time_s,n_rep,se_rate
"Pareto(a=3.0,s=1.0)",False,80,argmin,1,gauss_1.0,0.89,0.022355289421157637,0.02868318453384333,5.209216591500098,0.31361513422346216,200,0.022124646889837583
"Pareto(a=3.0,s=1.0)",False,80,argmin,1,laplace_1.0,1.0,0.00516966067864267,0.04573629599625681,5.698463311000051,0.27702585168635857,200,0.0
"Pareto(a=3.0,s=1.0)",False,80,argmin,2,gauss_0.5,0.525,0.060225,0.000329557188963754,0.3326211660003901,0.008469630171372339,200,0.035311117229563836
"Pareto(a=3.0,s=1.0)",False,80,argmin,2,gauss_1.0,0.925,0.018600000000000002,0.001688726791527147,0.3601550064998446,0.009992456822201345,200,0.01862458053218917
"Pareto(a=3.0,s=1.0)",False,80,argmin,2,laplace_1.0,1.0,0.0057,0.004564808388491776,0.36539922099960676,0.0113780298606739,200,0.0
"Pareto(a=3.0,s=1.0)",False,80,median,1,gauss_0.5,1.0,0.005825,0.06255217083132517,0.18811484899961212,0.00794142974728132,200,0.0
"Pareto(a=3.0,s=1.0)",False,80,median,1,gauss_1.0,0.98,0.01,0.0783364420722472,0.18642542700021292,0.008562908212094838,200,0.009899494936611668
"Pareto(a=3.0,s=1.0)",False,80,median,1,laplace_1.0,0.95,0.012225,0.07154536825944585,0.18952471700002202,0.0077783536904251285,200,0.015411035007422448
"Pareto(a=3.0,s=1.0)",False,80,median,2,gauss_0.5,0.995,0.00635,0.0053878091076746655,0.18791040250063812,0.007979531911316286,200,0.004987484335815003
"Pareto(a=3.0,s=1.0)",False,80,median,2,gauss_1.0,0.935,0.014375,0.007039094055869383,0.18169929850002514,0.02179373561706881,200,0.01743201078476031
"Pareto(a=3.0,s=1.0)",False,80,median,2,laplace_1.0,0.92,0.021025000000000002,0.007129073478558512,0.1892308350006351,0.006856898979512161,200,0.019183326093250873
"Pareto(a=3.0,s=1.0)",False,80,trimmed,1,gauss_0.5,0.955,0.011474999999999999,0.030337303493628107,0.1891025934995559,0.008435961954053727,200,0.014658615214269054
"Pareto(a=3.0,s=1.0)",False,80,trimmed,1,gauss_1.0,0.915,0.0188,0.03529819745454081,0.18932454799993134,0.008180103967287201,200,0.019719913792915014
"Pareto(a=3.0,s=1.0)",False,80,trimmed,1,laplace_1.0,1.0,0.008975,0.04832791701801451,0.18976174699964754,0.008486319977236579,200,0.0
"Pareto(a=3.0,s=1.0)",False,80,trimmed,2,gauss_0.5,0.975,0.012475,0.0012309330722687114,0.18754048649978355,0.007709031913781909,200,0.011039701082909813
"Pareto(a=3.0,s=1.0)",False,80,trimmed,2,gauss_1.0,0.895,0.021175000000000003,0.001934882897165249,0.1889726085007714,0.007265119305646401,200,0.021676600286945368
"Pareto(a=3.0,s=1.0)",False,80,trimmed,2,laplace_1.0,1.0,0.007325000000000001,0.005990156168237617,0.188472366499991,0.009352085529318798,200,0.0
"Pareto(a=3.0,s=1.0)",False,160,argmin,1,gauss_0.5,0.87,0.025908183632734484,0.011150852053089601,8.47388288949991,0.4561716757471062,200,0.02378024390118823
"Pareto(a=3.0,s=1.0)",False,160,argmin,1,gauss_1.0,1.0,0.002874251497005948,0.029198725154982626,9.57034059750009,0.4198996490885701,200,0.0
"Pareto(a=3.0,s=1.0)",False,160,argmin,1,laplace_1.0,1.0,0.0020059880239520593,0.04656453185082759,10.58322863349993,0.39236412236780244,200,0.0
"Pareto(a=3.0,s=1.0)",False,160,argmin,2,gauss_0.5,0.95,0.016375,0.00029403121418930403,0.47705513599983534,0.013311657383512136,200,0.015411035007422448
"Pareto(a=3.0,s=1.0)",False,160,argmin,2,gauss_1.0,1.0,0.005375,0.0016023841654532094,0.5247444939994602,0.020397816168196952,200,0.0
"Pareto(a=3.0,s=1.0)",False,160,argmin,2,laplace_1.0,1.0,0.005,0.004240578769523357,0.5527994785000192,0.017262601830536663,200,0.0
"Pareto(a=3.0,s=1.0)",False,160,median,1,gauss_0.5,1.0,0.005,0.06235478713967572,0.3675573145000817,0.016249161092794135,200,0.0
"Pareto(a=3.0,s=1.0)",False,160,median,1,gauss_1.0,1.0,0.00505,0.077259180729318,0.37632370950035693,0.016139977541584066,200,0.0
"Pareto(a=3.0,s=1.0)",False,160,median,1,laplace_1.0,1.0,0.00505,0.07314523913120173,0.38267420899959687,0.018252803949343067,200,0.0
"Pareto(a=3.0,s=1.0)",False,160,median,2,gauss_0.5,1.0,0.00505,0.005169594283193114,0.3825963350005622,0.017239115528514752,200,0.0
"Pareto(a=3.0,s=1.0)",False,160,median,2,gauss_1.0,1.0,0.005175,0.0071882731674841206,0.3765436070004944,0.034493519070626165,200,0.0
"Pareto(a=3.0,s=1.0)",False,160,median,2,laplace_1.0,1.0,0.0053,0.007135988168129064,0.389207222500263,0.01728540046880322,200,0.0
"Pareto(a=3.0,s=1.0)",False,160,trimmed,1,gauss_0.5,1.0,0.005025000000000001,0.03168179030957041,0.3781658640006208,0.011428004785190508,200,0.0
"Pareto(a=3.0,s=1.0)",False,160,trimmed,1,gauss_1.0,1.0,0.005350000000000001,0.03511591730250735,0.38459453599927657,0.012507629350723701,200,0.0
