dist,under_h0,n,estimator,reject_rate,mean_pvalue,mean_stat,mean_time_s,sd_time_s,n_rep,se_rate
"Pareto(a=3.0,s=1.0)",False,20,trimmed,0.075,0.3330625,0.5520292819452606,0.06067353624995349,0.004459163015276453,80,0.02944804747347437
"Pareto(a=3.0,s=1.0)",False,40,argmin,0.65,0.05075,0.6719840027857806,0.2724937174999127,0.012652594867403954,80,0.05332682251925385
"Pareto(a=3.0,s=1.0)",False,40,median,0.575,0.0995,0.9012491331479883,0.01540332125000532,0.0016104829254217244,80,0.05526922742358536
"Pareto(a=3.0,s=1.0)",False,40,trimmed,0.55,0.077875,0.7549937913652006,0.059507732499923804,0.004220337403389267,80,0.05562148865321748
"Pareto(a=3.0,s=1.0)",False,80,argmin,1.0,0.006687500000000001,0.9524252041663168,0.3460573687500528,0.03871166688098277,80,0.0
"Pareto(a=3.0,s=1.0)",False,80,median,0.8625,0.03175,1.2689685772311308,0.01737350124998329,0.001971388388115841,80,0.03850223207815359
"Pareto(a=3.0,s=1.0)",False,80,trimmed,0.9875,0.011875,0.9866649950717823,0.06517017625003518,0.007586125137244987,80,0.012421629321469847
"Uniforme(1.0,3.0)",True,20,argmin,0.0125,0.6646875,0.3354101966249685,0.19784337750005535,0.0144551535517335,80,0.01242162932146987
"Uniforme(1.0,3.0)",True,20,median,0.0625,0.599125,0.44581605301402066,0.011191053749905677,0.000860584855975604,80,0.027063293868263706
"Uniforme(1.0,3.0)",True,20,trimmed,0.0375,0.6463125,0.36755367380152804,0.04858897624992551,0.006200591445006038,80,0.021240806834958038
"Uniforme(1.0,3.0)",True,40,argmin,0.0375,0.5791875,0.3616855073817585,0.22316192624996348,0.011500072013772483,80,0.021240806834958038
"Uniforme(1.0,3.0)",True,40,median,0.0875,0.564875,0.5049762138581382,0.012656325000102697,0.0037780024346044283,80,0.03159187989025028
"Uniforme(1.0,3.0)",True,40,trimmed,0.0625,0.6195625,0.3883672251394291,0.04736764249997805,0.002829102595886905,80,0.027063293868263706
"Uniforme(1.0,3.0)",True,80,argmin,0.05,0.5795,0.3745413862312149,0.3303698150000514,0.12195807491498517,80,0.02436698586202241
"Uniforme(1.0,3.0)",True,80,median,0.075,0.48293749999999996,0.5694985630194778,0.012345716249967609,0.0007376056858173069,80,0.02944804747347437
"Uniforme(1.0,3.0)",True,80,trimmed,0.0125,0.6341249999999999,0.3885168110905886,0.045750688750024436,0.0033905494691559707,80,0.01242162932146987
"Weibull(k=1.5,s=1.0)",False,20,argmin,0.05,0.538125,0.3577708763999664,0.23919619875000536,0.008266729395180118,80,0.02436698586202241
"Weibull(k=1.5,s=1.0)",False,20,median,0.1,0.4999375,0.473766902732768,0.013749831249936052,0.0007405730617986166,80,0.03354101966249685
"Weibull(k=1.5,s=1.0)",False,20,trimmed,0.0375,0.5965,0.3899143535765259,0.055653322499995286,0.0019579745777508753,80,0.021240806834958038
