dist,under_h0,n,estimator,q,weight,reject_rate,mean_pvalue,mean_stat,mean_time_s,sd_time_s,n_rep,se_rate
"Gamma(k=2.0,s=1.0)",False,40,argmin,1,gauss_1.0,0.5666666666666667,0.08775,0.07548891278481054,1.4861317933335159,0.2946533205228605,60,0.06397337409104348
"Gamma(k=2.0,s=1.0)",False,40,argmin,1,laplace_1.0,0.31666666666666665,0.16716666666666666,0.08553284944603311,1.482831579999917,0.11185768513471746,60,0.06005398805642704
"Gamma(k=2.0,s=1.0)",False,40,argmin,2,gauss_1.0,0.5333333333333333,0.14341666666666666,0.011892579371612253,0.6160596466666599,0.020486626243233334,60,0.06440611887195306
"Gamma(k=2.0,s=1.0)",False,40,argmin,2,laplace_1.0,0.2833333333333333,0.20383333333333334,0.016587219180231063,0.6991297100000035,0.026063727352767897,60,0.05817438662555248
"Gamma(k=2.0,s=1.0)",False,40,median,1,gauss_1.0,0.4166666666666667,0.12916666666666668,0.08930142028545819,0.06788132499993177,0.002762036044383995,60,0.06364688465216445
"Gamma(k=2.0,s=1.0)",False,40,median,1,laplace_1.0,0.36666666666666664,0.20650000000000002,0.09471076048933488,0.0706046183332243,0.002647170626141949,60,0.062212300796308524
"Gamma(k=2.0,s=1.0)",False,40,median,2,gauss_1.0,0.2833333333333333,0.22158333333333333,0.012447915812544199,0.06878519333328464,0.002714391002914532,60,0.05817438662555248
"Gamma(k=2.0,s=1.0)",False,40,median,2,laplace_1.0,0.25,0.24033333333333334,0.018277641756086354,0.0699291716665357,0.0025551713362831174,60,0.05590169943749474
"Gamma(k=2.0,s=1.0)",False,40,trimmed,1,gauss_1.0,0.6,0.07183333333333333,0.09557193938375559,0.1491004249999302,0.02600574794420196,60,0.06324555320336758
"Gamma(k=2.0,s=1.0)",False,40,trimmed,1,laplace_1.0,0.5166666666666667,0.09041666666666666,0.11211812678767571,0.13498677999993258,0.005783396896923937,60,0.06451385151296608
"Gamma(k=2.0,s=1.0)",False,40,trimmed,2,gauss_1.0,0.3333333333333333,0.14391666666666666,0.022785217924693672,0.1432834516666844,0.016130054422845402,60,0.06085806194501846
"Gamma(k=2.0,s=1.0)",False,40,trimmed,2,laplace_1.0,0.16666666666666666,0.21575,0.026862990718443454,0.13716900166658283,0.00514312562425531,60,0.048112522432468816
"Gamma(k=2.0,s=1.0)",False,80,argmin,1,gauss_1.0,0.9666666666666667,0.011083333333333334,0.08062509441600237,2.3937220266666674,0.13746631015839092,60,0.023174059571793564
"Gamma(k=2.0,s=1.0)",False,80,argmin,1,laplace_1.0,0.85,0.03658333333333333,0.08987237078115341,2.5309035700001004,0.07473710843154406,60,0.046097722286464436
"Gamma(k=2.0,s=1.0)",False,80,argmin,2,gauss_1.0,0.7833333333333333,0.04816666666666667,0.009720471329609676,1.0100844900000994,0.03416164915633409,60,0.0531855591650939
"Gamma(k=2.0,s=1.0)",False,80,argmin,2,laplace_1.0,0.5833333333333334,0.09508333333333334,0.015251748089826257,1.1164753166667045,0.032993210279633,60,0.06364688465216445
"Gamma(k=2.0,s=1.0)",False,80,median,1,gauss_1.0,0.7833333333333333,0.03958333333333333,0.08583864453067479,0.11335463166663734,0.005269425956219261,60,0.0531855591650939
"Gamma(k=2.0,s=1.0)",False,80,median,1,laplace_1.0,0.6833333333333333,0.0535,0.08914559291360165,0.11679681166660885,0.00714374777357731,60,0.06005398805642704
"Gamma(k=2.0,s=1.0)",False,80,median,2,gauss_1.0,0.7166666666666667,0.052000000000000005,0.012253725969701009,0.11664684166653387,0.011898614654651363,60,0.05817438662555248
"Gamma(k=2.0,s=1.0)",False,80,median,2,laplace_1.0,0.5166666666666667,0.13091666666666668,0.013903051686599098,0.12106987999977718,0.012030839309319405,60,0.06451385151296608
"Gamma(k=2.0,s=1.0)",False,80,trimmed,1,gauss_1.0,0.9333333333333333,0.021249999999999998,0.08481515731815899,0.18753772833306356,0.014046418344022487,60,0.032203059435976525
"Gamma(k=2.0,s=1.0)",False,80,trimmed,1,laplace_1.0,0.8833333333333333,0.021083333333333336,0.10625672162719445,0.1870065250000759,0.005030117067104068,60,0.04144384867012948
"Gamma(k=2.0,s=1.0)",False,80,trimmed,2,gauss_1.0,0.8,0.047,0.01768350403928052,0.18704111500010184,0.006588844005375808,60,0.05163977794943222
"Gamma(k=2.0,s=1.0)",False,80,trimmed,2,laplace_1.0,0.4,0.14716666666666667,0.02114428186947895,0.19129947833325786,0.006185521493835174,60,0.06324555320336758
"Pareto(a=3.0,s=1.0)",False,20,argmin,1,gauss_1.0,0.3333333333333333,0.10425,0.02700414927054978,0.81555923666668,0.07551665968107217,60,0.06085806194501846
"Pareto(a=3.0,s=1.0)",False,20,argmin,1,laplace_1.0,0.3333333333333333,0.10400000000000001,0.043931911308712386,0.8699604933332618,0.07918249346210965,60,0.06085806194501846
"Pareto(a=3.0,s=1.0)",False,20,argmin,2,gauss_1.0,0.21666666666666667,0.10641666666666666,0.002185939718631184,0.43673055333338195,0.041223651778071926,60,0.0531855591650939
"Pareto(a=3.0,s=1.0)",False,20,argmin,2,laplace_1.0,0.4166666666666667,0.08391666666666667,0.006906070458593718,0.43850894999995943,0.03383276191278641,60,0.06364688465216445
"Pareto(a=3.0,s=1.0)",False,20,median,1,gauss_1.0,0.5666666666666667,0.12033333333333333,0.08027933887327969,0.04763319166653067,0.0023623933730590463,60,0.06397337409104348
"Pareto(a=3.0,s=1.0)",False,20,median,1,laplace_1.0,0.31666666666666665,0.191,0.07111314994904384,0.05401440000002064,0.004607906685676151,60,0.06005398805642704
"Pareto(a=3.0,s=1.0)",False,20,median,2,gauss_1.0,0.45,0.11908333333333333,0.00948302835836954,0.05061858999997639,0.004594975218822644,60,0.06422616289332565
"Pareto(a=3.0,s=1.0)",False,20,median,2,laplace_1.0,0.38333333333333336,0.14966666666666667,0.010604558104583202,0.049087895000108496,0.002192019915717154,60,0.06276794416591017
"Pareto(a=3.0,s=1.0)",False,20,trimmed,1,gauss_1.0,0.26666666666666666,0.14216666666666666,0.03638976870377359,0.1144039433334001,0.004340048071668697,60,0.05708992257184502
"Pareto(a=3.0,s=1.0)",False,20,trimmed,1,laplace_1.0,0.35,0.09683333333333334,0.05137436689701499,0.11594571666664706,0.007443764129838855,60,0.06157651067303722
"Pareto(a=3.0,s=1.0)",False,20,trimmed,2,gauss_1.0,0.23333333333333334,0.14,0.003379241105143928,0.1311812149998938,0.028364392818184987,60,0.054602943890247176
"Pareto(a=3.0,s=1.0)",False,20,trimmed,2,laplace_1.0,0.26666666666666666,0.10925,0.007369912259131741,0.13118880666658395,0.02756274623077332,60,0.05708992257184502
"Pareto(a=3.0,s=1.0)",False,40,argmin,1,gauss_1.0,0.43333333333333335,0.08066666666666666,0.02980366880569206,1.080848476666597,0.07526573456930004,60,0.06397337409104348
"Pareto(a=3.0,s=1.0)",False,40,argmin,1,laplace_1.0,0.6833333333333333,0.042083333333333334,0.04488444768124465,1.1431635149999237,0.05221229733820998,60,0.06005398805642704
"Pareto(a=3.0,s=1.0)",False,40,argmin,2,gauss_1.0,0.43333333333333335,0.06974999999999999,0.0018990044865993176,0.5094567616667821,0.032536954896610994,60,0.06397337409104348
"Pareto(a=3.0,s=1.0)",False,40,argmin,2,laplace_1.0,0.7833333333333333,0.03025,0.004570122436102621,0.5505148000000797,0.035523013299165095,60,0.0531855591650939
"Pareto(a=3.0,s=1.0)",False,40,median,1,gauss_1.0,0.7333333333333333,0.059666666666666666,0.07551615379024418,0.06671667666648015,0.007647738318725167,60,0.057089922571845024
"Pareto(a=3.0,s=1.0)",False,40,median,1,laplace_1.0,0.6666666666666666,0.057833333333333334,0.07211187864805388,0.06885543666673281,0.00515114738474182,60,0.06085806194501846
"Pareto(a=3.0,s=1.0)",False,40,median,2,gauss_1.0,0.6166666666666667,0.0665,0.007304902599672769,0.062211420000160916,0.004004303487333292,60,0.06276794416591015
