dist,under_h0,n,estimator,reject_rate,mean_pvalue,mean_stat,mean_time_s,sd_time_s,n_rep,se_rate
"Pareto(a=3.0,s=1.0)",False,20,median,0.29,0.26032601463739186,0.6201361857599417,0.07633320166668757,0.02216015267966798,300,0.026197964297504744
"Pareto(a=3.0,s=1.0)",False,20,trimmed,0.12666666666666668,0.3009713905522289,0.5701973342624465,0.2707564223333005,0.08557256253843065,300,0.019202623277582175
"Pareto(a=3.0,s=1.0)",False,40,argmin,0.6833333333333333,0.05637391882900864,0.6656594474654439,0.6975829156666623,0.08188944461896314,300,0.026856959922826266
"Pareto(a=3.0,s=1.0)",False,40,median,0.62,0.09373253493013972,0.9030937951164196,0.039059706333328,0.01317294627661222,300,0.0280237994093116
"Pareto(a=3.0,s=1.0)",False,40,trimmed,0.5566666666666666,0.08169660678642714,0.7515679905666849,0.1526473080000263,0.042291034518933186,300,0.028681520699391616
"Pareto(a=3.0,s=1.0)",False,80,argmin,0.98,0.007185628742514971,0.9305769566361626,0.8554655083333365,0.10989775837504334,300,0.008082903768654764
"Pareto(a=3.0,s=1.0)",False,80,median,0.89,0.023273453093812378,1.2663598312573812,0.09175478300001183,0.10176135166393177,300,0.018064698539785637
"Pareto(a=3.0,s=1.0)",False,80,trimmed,0.98,0.008695941450432468,0.9864786560736574,307.3908479333333,1749.9098070011519,300,0.008082903768654764
"Pareto(a=3.0,s=1.0)",False,160,argmin,1.0,0.002095808383233533,1.3119499442623566,4.345087971666653,1.1297648568228538,300,0.0
"Pareto(a=3.0,s=1.0)",False,160,median,1.0,0.0025083166999334662,1.8081640137704449,0.16711030166668933,0.021432875112620563,300,0.0
"Pareto(a=3.0,s=1.0)",False,160,trimmed,1.0,0.0020292747837658016,1.3610970095641401,0.5168470886665576,0.04076598393865405,300,0.0
"Uniforme(1.0,3.0)",True,20,argmin,0.016666666666666666,0.6698336660013308,0.3134221948462206,0.957659797333384,0.30502687539549556,300,0.007391185942027817
"Uniforme(1.0,3.0)",True,20,median,0.08666666666666667,0.5723286759813706,0.44944966347745774,0.03823092166665447,0.012508317444411474,300,0.01624351722539955
"Uniforme(1.0,3.0)",True,20,trimmed,0.0033333333333333335,0.6932002661343979,0.34509982452746757,0.15836902266668404,0.03547833200770227,300,0.003327773140415986
"Uniforme(1.0,3.0)",True,40,argmin,0.03333333333333333,0.6026347305389221,0.3507492971403428,0.714516899666672,0.16842929157585446,300,0.010363754503432016
"Uniforme(1.0,3.0)",True,40,median,0.07,0.5635994677312042,0.49963987030660406,0.037746371333329684,0.010608133674604414,300,0.014730919862656237
"Uniforme(1.0,3.0)",True,40,trimmed,0.016666666666666666,0.6333532934131736,0.3771016109750793,0.1448987343333344,0.028595308113367388,300,0.007391185942027817
"Uniforme(1.0,3.0)",True,80,argmin,0.016666666666666666,0.6073852295409182,0.362615690351216,0.832339515333315,0.12770584060381798,300,0.007391185942027817
"Uniforme(1.0,3.0)",True,80,median,0.08333333333333333,0.5394078509647372,0.5411284505549493,0.04046867133335278,0.009818234854929485,300,0.015957118462605634
"Uniforme(1.0,3.0)",True,80,trimmed,0.043333333333333335,0.5813439787092481,0.41031847387121156,0.14528699400001946,0.020988937206707116,300,0.011755219486899646
"Uniforme(1.0,3.0)",True,160,argmin,0.03333333333333333,0.6161543579507651,0.36880063211713743,1.2169246326666567,0.18657200213831227,300,0.010363754503432016
"Uniforme(1.0,3.0)",True,160,median,0.07333333333333333,0.5142049234863606,0.5834402283010662,0.04914174699997602,0.01210590267489149,300,0.015050532167286263
"Uniforme(1.0,3.0)",True,160,trimmed,0.023333333333333334,0.5835795076513639,0.4155759891737947,0.16806709000000106,0.05985459537819592,300,0.008715673408461504
"Weibull(k=1.5,s=1.0)",False,20,argmin,0.043333333333333335,0.5800931470392547,0.34249107855371785,0.6335169526666717,0.08721977603679343,300,0.011755219486899646
"Weibull(k=1.5,s=1.0)",False,20,median,0.14,0.5071324018629407,0.4621207153499566,0.034811817333344756,0.01011553854015805,300,0.020033305601755626
"Weibull(k=1.5,s=1.0)",False,20,trimmed,0.02666666666666667,0.5915036593479708,0.38646708211121367,0.1380104316666772,0.02007812893735878,300,0.009301533127313934
"Weibull(k=1.5,s=1.0)",False,40,argmin,0.18333333333333332,0.32234198270126413,0.43929307162505743,0.6882725733333458,0.12106450021693184,300,0.022339965847647886
"Weibull(k=1.5,s=1.0)",False,40,median,0.15333333333333332,0.37931470392548233,0.5723722564904767,0.042302662666691804,0.01791470609225329,300,0.020802421511466898
"Weibull(k=1.5,s=1.0)",False,40,trimmed,0.08333333333333333,0.3877178975382568,0.4674900474282255,0.1630136026666605,0.04260557251577921,300,0.015957118462605634
"Weibull(k=1.5,s=1.0)",False,80,argmin,0.4066666666666667,0.14176979374584164,0.5493273664724485,1.2907579673333354,0.8732132540539983,300,0.028360118058574725
"Weibull(k=1.5,s=1.0)",False,80,median,0.34,0.20406520292747837,0.725045041704307,0.04150435033333148,0.012383782801688944,300,0.027349588662354686
