dist,under_h0,theta_true,n,estimator,mean_hat,std_hat,q25,q75,bias,rmse,mae
"Pareto(a=3.0,s=1.0)",False,,160,argmin,0.3501096639654026,0.038522916788435,0.3221475152131596,0.3755337670273684,,,
"Pareto(a=3.0,s=1.0)",False,,160,median,0.2620182144797402,0.0341235715459274,0.2387163260584139,0.2839809582123683,,,
"Pareto(a=3.0,s=1.0)",False,,160,trimmed,0.3459422129238834,0.0365755219133808,0.3222258344038276,0.3703890244315584,,,
"Uniforme(1.0,3.0)",True,2.0,20,argmin,2.0108049620298782,0.1519506765379556,1.9008225257192184,2.101728608347352,0.0108049620298782,0.1521827102157431,0.1228876625591885
"Uniforme(1.0,3.0)",True,2.0,20,median,1.9887391423379943,0.2096340440787357,1.839304398407416,2.1267558169603213,-0.0112608576620054,0.2097268377848091,0.1696576019485426
"Uniforme(1.0,3.0)",True,2.0,20,trimmed,1.9888310011880597,0.1448295372129917,1.903198587220877,2.0839413355066183,-0.0111689988119405,0.1451150929231409,0.1130731988602769
"Uniforme(1.0,3.0)",True,2.0,40,argmin,1.9967393314243185,0.0985859887773066,1.9293299793546144,2.066739975435952,-0.0032606685756817,0.0985413149313184,0.0797570351003914
"Uniforme(1.0,3.0)",True,2.0,40,median,1.992023904103526,0.1479515086859126,1.886532803326124,2.097726443962977,-0.0079760958964738,0.1480185384684721,0.1201849358988435
"Uniforme(1.0,3.0)",True,2.0,40,trimmed,1.998773577846871,0.1054549993487221,1.9315827519982365,2.068454611819978,-0.001226422153129,0.1053566300009704,0.0834584720121878
"Uniforme(1.0,3.0)",True,2.0,80,argmin,1.999601389225535,0.0668266371574292,1.951848817399092,2.0461690885388184,-0.0003986107744649,0.0667609670799688,0.0539559726411827
"Uniforme(1.0,3.0)",True,2.0,80,median,1.9953968237633768,0.1103959240736351,1.913561684123346,2.0820741816731747,-0.0046031762366232,0.1103814964721582,0.0902979678841661
"Uniforme(1.0,3.0)",True,2.0,80,trimmed,1.995823241462223,0.0777234598443722,1.9456473447104423,2.0493608704592274,-0.0041767585377769,0.077757955539239,0.0618903063240575
"Uniforme(1.0,3.0)",True,2.0,160,argmin,1.999331107500174,0.0474076196272549,1.963901061292759,2.0335007059091303,-0.0006688924998259,0.0473649116023809,0.0388339685186316
"Uniforme(1.0,3.0)",True,2.0,160,median,1.9980407416419808,0.0827166737998183,1.9401477865624857,2.055393366866244,-0.0019592583580192,0.0826571395680373,0.0666415984322537
"Uniforme(1.0,3.0)",True,2.0,160,trimmed,1.9993141394544207,0.0536477011299694,1.9632335085349224,2.0355725435632515,-0.0006858605455792,0.0535984149909812,0.0432080237436323
"Weibull(k=1.5,s=1.0)",False,,20,argmin,0.8364821409338222,0.150667476950463,0.7311498726512735,0.930845244714944,,,
"Weibull(k=1.5,s=1.0)",False,,20,median,0.8003763933939226,0.1681116545552526,0.6843149691413933,0.912771084755012,,,
"Weibull(k=1.5,s=1.0)",False,,20,trimmed,0.848636845267229,0.1459575226935232,0.7483602441987547,0.942457753449311,,,
"Weibull(k=1.5,s=1.0)",False,,40,argmin,0.8388470134038759,0.1023752574603135,0.7673359051350932,0.908743924353084,,,
"Weibull(k=1.5,s=1.0)",False,,40,median,0.796333852439682,0.1159322726848404,0.7137123533041878,0.8725955299516304,,,
"Weibull(k=1.5,s=1.0)",False,,40,trimmed,0.8410259849701002,0.0974141420941073,0.7737865346408941,0.9049662614991336,,,
"Weibull(k=1.5,s=1.0)",False,,80,argmin,0.843371853765334,0.0729593820590568,0.7912197418149401,0.8908283109680586,,,
"Weibull(k=1.5,s=1.0)",False,,80,median,0.7835924127278906,0.0802714668234316,0.7303765551977792,0.836415771034982,,,
"Weibull(k=1.5,s=1.0)",False,,80,trimmed,0.8409940058329185,0.0696884323751251,0.794890657217609,0.8848681167534983,,,
"Weibull(k=1.5,s=1.0)",False,,160,argmin,0.8516779828326208,0.0505839625520966,0.8174251842856761,0.8839474036599029,,,
"Weibull(k=1.5,s=1.0)",False,,160,median,0.7829218808572075,0.059654458684553,0.7419204403613122,0.8243245340240948,,,
"Weibull(k=1.5,s=1.0)",False,,160,trimmed,0.839634118549601,0.048401065219343,0.8068961153404023,0.8703486866049033,,,
