dist,under_h0,n,estimator,q,weight,rep,statistic,p_value,reject,theta_hat,time_s
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,39,0.01033057391638275,0.775,False,2.007626060028407,0.8729337999993732
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,40,0.01330321834312696,0.22,False,1.828992347071412,0.8666952999992645
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,41,0.0031738823604994977,0.815,False,2.093172572581,0.8607216000000335
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,42,0.013647474522053601,0.315,False,2.2294427015829443,0.8601825999994617
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,44,0.008759134367178421,0.815,False,2.0339739908784273,0.8661534999992
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,46,0.015953780967344483,0.78,False,2.16545217672961,0.851049700000658
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,45,0.021817726971264835,0.695,False,2.13759036972932,0.8706008999997721
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,43,0.04628780995116541,0.265,False,1.821199481882645,0.9034205000007205
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,47,0.021942148669621915,0.11,False,2.0241763844003735,0.8926269999992655
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,48,0.01822803757417731,0.76,False,1.9713583189867,0.896728499999881
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,49,0.013963697699166885,0.58,False,2.2280630942991775,0.889983499999289
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,50,0.04654957076559861,0.555,False,1.8367864844870545,0.8564779000007547
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,51,0.01000008951467004,0.77,False,2.1667096018115632,0.8310122000002593
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,0,9.029062462689688e-06,0.78,False,1.9243002365288047,0.39740359999996144
"Uniforme(1.0,3.0)",True,20,argmin,1,laplace_1.0,53,0.04067017024301829,0.405,False,1.9719080663123796,0.8541305999988253
