dist,under_h0,n,estimator,rep,statistic,p_value,reject,theta_hat,time_s
"Uniforme(1.0,3.0)",True,20,median,58,0.223606797749979,0.99,False,1.95816814260269,0.011085000000093714
"Uniforme(1.0,3.0)",True,20,median,59,0.447213595499958,0.53,False,2.0424019293195617,0.010224399999970046
"Uniforme(1.0,3.0)",True,20,median,60,0.447213595499958,0.675,False,2.1560460524186604,0.011872199999743316
"Uniforme(1.0,3.0)",True,20,median,61,0.670820393249937,0.115,False,1.957080437466387,0.011031899999579764
"Uniforme(1.0,3.0)",True,20,median,62,0.5590169943749476,0.225,False,2.1322775034443517,0.011434099999860337
"Uniforme(1.0,3.0)",True,20,median,63,0.3354101966249685,0.78,False,2.06382284018966,0.010501900000235764
"Uniforme(1.0,3.0)",True,20,median,64,0.44721359549995787,0.715,False,1.954651918174375,0.010524999999688589
"Uniforme(1.0,3.0)",True,20,median,65,0.44721359549995787,0.62,False,1.8251149955083736,0.010982099999637285
"Uniforme(1.0,3.0)",True,20,median,66,0.3354101966249685,0.845,False,2.0664749687161907,0.010846500000297965
"Uniforme(1.0,3.0)",True,20,median,67,0.22360679774997919,0.985,False,1.9528699968653296,0.010875300000407151
"Uniforme(1.0,3.0)",True,20,median,68,0.3354101966249685,0.945,False,1.6939896167352189,0.014445799999521114
"Uniforme(1.0,3.0)",True,20,median,69,0.5590169943749475,0.4,False,1.8956575541323284,0.010354000000006636
"Uniforme(1.0,3.0)",True,20,median,70,0.7826237921249265,0.005,True,1.5355814814023268,0.010035499999503372
"Uniforme(1.0,3.0)",True,20,median,71,0.3354101966249685,0.82,False,1.813823244413352,0.010770599999887054
"Uniforme(1.0,3.0)",True,20,median,72,0.670820393249937,0.04,True,1.8446587825107732,0.01068089999989752
"Uniforme(1.0,3.0)",True,20,median,73,0.670820393249937,0.235,False,2.369081506970496,0.01151439999921422
"Uniforme(1.0,3.0)",True,20,median,74,0.4472135954999581,0.345,False,1.766496379034526,0.010485800000424206
"Uniforme(1.0,3.0)",True,20,median,75,0.3354101966249685,0.935,False,2.137513519282578,0.01063590000012482
"Uniforme(1.0,3.0)",True,20,median,76,0.4472135954999581,0.7,False,1.8056314414669228,0.01057909999963158
